activity type;name;reference product;database;code;location;unit;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
;market for glider, for electric scooter;glider, for electric scooter;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;2cc4bd5b2db86e43d917f42317a83e36;GLO;kilogram;3091;Manufacture of motorcycles;49941;Parts and accessories of motorcycles and side-cars;MachElecTrans;Metal/electronic equipments and parts
;market for brass removed by drilling, conventional;brass removed by drilling, conventional;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;6ac3e06a519065c05e56d26503998837;GLO;kilogram;2592;"Treatment and coating of metals; machining";3936;Waste and scrap of other metals;AgriForeAnim;Agricultural and forestry products
;market for integrated battery interface system, for Li-ion battery;integrated battery interface system, for Li-ion battery;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;308fd11f485d10007c081529250aabf6;GLO;kilogram;2720;Manufacture of batteries and accumulators;46430;Parts of primary cells, primary batteries and electric accumulators (including separators);MachElecTrans;Metal/electronic equipments and parts
;market for breadcrumbs;breadcrumbs;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;93a0b463d0e162f06a7483226ccc337a;GLO;kilogram;1061;Manufacture of grain mill products;23180;Mixes and doughs for the preparation of bakers' wares;ProcBio;Food & beverages, animal feed
;market for wastewater from potato starch production;wastewater from potato starch production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;14c6ffc4fc6c8126c654750146769e3e;RoW;cubic meter;3700;Sewerage;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
;market for inverter, 500kW;inverter, 500kW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;71fc223921f422412a7ed3ce993b6166;GLO;unit;2790;Manufacture of other electrical equipment;4717;Parts for the goods of classes 4711, 4712 and 4714 to 4716;MachElecTrans;Metal/electronic equipments and parts
;market for agricultural trailer;agricultural trailer;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;3bb2539929f70cf3e9e6a3d134148cab;GLO;kilogram;2821;Manufacture of agricultural and forestry machinery;441;Agricultural or forestry machinery and parts thereof;MachElecTrans;Metal/electronic equipments and parts
;market for used beverage cans;used beverage cans;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;2e38ffbc3d30513f75b6f96de9b52352;RoW;kilogram;3830;Materials recovery;39363;Waste and scrap of aluminium;AgriForeAnim;Agricultural and forestry products
;market for maintenance, train, passenger, regional;maintenance, train, passenger, regional;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;dd64cf43006a5d31305e3e6d5f38597b;GLO;unit;3315;Repair of transport equipment, except motor vehicles;87149;Maintenance and repair services of other transport equipment;;
;market for waste, pneumatic tyres;waste, pneumatic tyres;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;5d70da4f02121296de86d807529738d1;GLO;kilogram;3821;Treatment and disposal of non-hazardous waste;39260;Used pneumatic tyres of rubber;AgriForeAnim;Agricultural and forestry products
;market for fluosilicic acid, without water, in 22% solution state;fluosilicic acid, without water, in 22% solution state;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;f32c2d20d3bb4032738b51a09ef73f1b;GLO;kilogram;2012;Manufacture of fertilizers and nitrogen compounds;34;Basic chemicals;Chemical;Chemical products
;barley grain to generic market for energy feed;protein feed, 100% crude;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;34708ae607c5e59fbe39b4d4f90eb20c;GLO;kilogram;1080;Manufacture of prepared animal feeds;23319;Preparations used in animal feeding n.e.c.;ProcBio;Food & beverages, animal feed
;market for photovoltaic slanted-roof installation, 3kWp, multi-Si, panel, mounted, on roof;photovoltaic slanted-roof installation, 3kWp, multi-Si, panel, mounted, on roof;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;09a9ae111d33545514b77a45cbada56d;GLO;unit;3320;Installation of industrial machinery and equipment;87360;Installation services of electrical machinery and apparatus n.e.c.;;
;market for used refrigerant R134a;used refrigerant R134a;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ca10b728fae21a8398f056fe312dcd95;GLO;kilogram;3822;Treatment and disposal of hazardous waste;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
;market for phosgene, liquid;phosgene, liquid;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;85e0369591f9007f1380c2d4a944fe6f;RoW;kilogram;2011;Manufacture of basic chemicals;34;Basic chemicals;Chemical;Chemical products
;market for sawnwood, hardwood, raw, dried (u=10%);sawnwood, hardwood, raw, dried (u=10%);ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b6f5dea381d6d63761267e3dc37baaa7;RoW;cubic meter;1610;Sawmilling and planing of wood;31102;Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of non-coniferous wood;ProcBio;Wood, straw & cork
;market for liquid crystal display, unmounted;liquid crystal display, unmounted;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;2a87c5320bbf968cb5d8bb333c28e0b5;GLO;kilogram;2610;Manufacture of electronic components and boards;47315;Monitors and projectors, principally used in an automatic data processing system;MachElecTrans;Metal/electronic equipments and parts
;market for residues, MSWI-WWT, WW from concrete production;residues, MSWI-WWT, WW from concrete production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;2758e88d3bae670decfaed594e47d0be;GLO;kilogram;3821;Treatment and disposal of non-hazardous waste;3932;Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…];AgriForeAnim;Agricultural and forestry products
;market for non-sulfidic tailing, off-site;non-sulfidic tailing, off-site;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;fa2dfe3d956f1f37ac193b709587b558;GLO;kilogram;3822;Treatment and disposal of hazardous waste;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
;market for residues, MSWI-WWT, WW from hard fibreboard production;residues, MSWI-WWT, WW from hard fibreboard production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;8908505f6013593c3ed08ac4c90637f7;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;3932;Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…];AgriForeAnim;Agricultural and forestry products
;market for chipper, mobile, diesel;chipper, mobile, diesel;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;337fe94cb0f08d27a8bdd716406f11a7;GLO;unit;2821;Manufacture of agricultural and forestry machinery;441;Agricultural or forestry machinery and parts thereof;MachElecTrans;Metal/electronic equipments and parts
;market for fuel cell, stack solid oxide, 125kW electrical, future;fuel cell, stack solid oxide, 125kW electrical, future;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;abf8828ae5c4d00dbc4c36e7c19f0d41;GLO;unit;2790;Manufacture of other electrical equipment;46410;Primary cells and primary batteries;MachElecTrans;Metal/electronic equipments and parts
;market for ioxynil;ioxynil;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;4636e8b5f06256d23c6fbe18c64bef36;GLO;kilogram;2011;Manufacture of basic chemicals;34150;"Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]";Chemical;Chemical products
;market for refractory, fireclay, packed;refractory, fireclay, packed;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;6a05527ae9f3de399fa95bf7c5242096;GLO;kilogram;2391;Manufacture of refractory products;373;Refractory products and structural non-refractory clay products;GlasNonMetal;Glass and other non-metallic products
;market for electronic component machinery, unspecified;electronic component machinery, unspecified;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;becc0967ac6ad610b0cdefb9d8b4ae71;GLO;unit;2829;Manufacture of other special-purpose machinery;4492;Parts n.e.c. for special-purpose machinery;MachElecTrans;Metal/electronic equipments and parts
;market for passenger car, electric, without battery;passenger car, electric, without battery;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;25f94e2b602c829a79818ec5a88159d1;GLO;kilogram;2910;Manufacture of motor vehicles;49113;Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…];MachElecTrans;Transport vehicles
;market for used industrial electronic device;used industrial electronic device;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;821f734dadb28e61983c32a04d22e678;RoW;kilogram;3830;Materials recovery;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
;2-methylpentane to generic market for solvent, organic;solvent, organic;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;41fc5216a548a92648841506094e0f63;GLO;kilogram;20;Manufacture of chemicals and chemical products;341;Basic organic chemicals;Chemical;Chemical products
;market for wastewater from PV cell production;wastewater from PV cell production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c473bf4c68671b57d3a4e20acc9debe4;RoW;cubic meter;3700;Sewerage;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
;market for wastewater treatment facility, capacity 5E9l/year;wastewater treatment facility, capacity 5E9l/year;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;f00a33b1b4b6bd91d8601d7c49120027;GLO;unit;4220;Construction of utility projects;53253;Sewage and water treatment plants;;
;market for aluminium alloy, metal matrix composite;aluminium alloy, metal matrix composite;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;1e1be921bc2277cab46773ca5ef3d347;GLO;kilogram;2420;Manufacture of basic precious and other non-ferrous metals;41431;Unwrought aluminium;MetalAlloy;Basic metals & alloys, their semi-finished products
;market for impact extrusion of steel, cold, 2 strokes;impact extrusion of steel, cold, 2 strokes;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;12db0759bc384892d2084d238238634c;GLO;kilogram;2591;"Forging, pressing, stamping and roll-forming of metal; powder metallurgy";89330;Metal forging, pressing, stamping, roll forming and powder metallurgy services;;
;market for battery cell, Li-ion, LFP;battery cell, Li-ion, LFP;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0499fa4e688990715acdaa77ef6fc3d4;GLO;kilogram;2011;Manufacture of basic chemicals;46410;Primary cells and primary batteries;MachElecTrans;Metal/electronic equipments and parts
;market for spent anion exchange resin from potable water production;spent anion exchange resin from potable water production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;f7d11a087049002dd02b86b7427c701e;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
;market for dioctyl terephthalate;dioctyl terephthalate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;38bfa307891b46a64abd11ce053566f4;GLO;kilogram;2011;Manufacture of basic chemicals;34140;Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […];Chemical;Chemical products
;market for o-aminophenol;o-aminophenol;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;9c13dc5ebee4c8ded24ba23fe23f600e;GLO;kilogram;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
;market for clover seed, Swiss integrated production, at farm;clover seed, Swiss integrated production, at farm;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;be33116d9801dd9e6a161a7f97be15c4;GLO;kilogram;119;Growing of other non-perennial crops;1919;Forage products, n.e.c.;;
;market for barley seed, organic, for sowing;barley seed, organic, for sowing;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;f7fbbbd4027750c8b3d88c1bf551daef;GLO;kilogram;164;Seed processing for propagation;1151;Barley, seed;OreMinFuel;Ores, minerals & fuels
;market for magnesium, for reuse in titanium sponge production;magnesium, for reuse in titanium sponge production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0359b9f53c1748fac3950af176ff31bf;RoW;kilogram;2420;Manufacture of basic precious and other non-ferrous metals;41601;Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];MetalAlloy;Basic metals & alloys, their semi-finished products
;market for manganese dioxide;manganese dioxide;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;30a1dbfebc5d913e1af78c6a6a3055ce;GLO;kilogram;2011;Manufacture of basic chemicals;34220;"Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth[…]";Chemical;Chemical products
;market for maize seed, organic, for sowing;maize seed, organic, for sowing;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c33009dcfbc3422ae8dd9582960f8777;GLO;kilogram;164;Seed processing for propagation;1121;Maize (corn), seed;OreMinFuel;Ores, minerals & fuels
;market for perfluoropentane;perfluoropentane;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;6bbb367fa3e03a1a151f4277a6fd81ae;GLO;kilogram;2011;Manufacture of basic chemicals;34;Basic chemicals;Chemical;Chemical products
;market for glass fibre reinforced plastic, polyester resin, hand lay-up;glass fibre reinforced plastic, polyester resin, hand lay-up;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;42f091fc69384858f0e0a102dcc74ec6;GLO;kilogram;2220;Manufacture of plastics products;36990;Articles of plastics n.e.c.;PlastRub;Plastics & rubber products
;market for natural gas, high pressure, 40-year period;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;049e9e8f02fa4444abf2acb2ac559f6c;World;cubic meter;3520;"Manufacture of gas; distribution of gaseous fuels through mains";12020;Natural gas, liquefied or in the gaseous state;OreMinFuel;Ores, minerals & fuels
;market for wood preservation facility, vacuum pressure method;wood preservation facility, vacuum pressure method;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;49ed6a9dcea1e8aad1313b2ff1368153;GLO;unit;4290;Construction of other civil engineering projects;53269;Other constructions for manufacturing;;
;market for tyre wear emissions, lorry;tyre wear emissions, lorry;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;1ebdad6cbd168e898b2aeb31e6778b1c;GLO;kilogram;3821;Treatment and disposal of non-hazardous waste;39260;Used pneumatic tyres of rubber;AgriForeAnim;Agricultural and forestry products
;market for NOx retained, by selective catalytic reduction;NOx retained, by selective catalytic reduction;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;8d1f644cfb4f2d1e4d69030fe28803e8;GLO;kilogram;3510;Electric power generation, transmission and distribution;35499;Other chemical products n.e.c.;Chemical;Chemical products
;market for metal working, average for aluminium product manufacturing;metal working, average for aluminium product manufacturing;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;463239ee0b6e0152ef137f3dcb7378a2;GLO;kilogram;259;"Manufacture of other fabricated metal products; metalworking service activit";893;Casting, forging, stamping and similar metal manufacturing services;;
;market for solar collector system, Cu flat plate collector, one-family house, combined system;solar collector system, Cu flat plate collector, one-family house, combined system;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;d0767559f648d30be288b1382f0f8cb9;GLO;unit;4322;Plumbing, heat and air-conditioning installation;54631;Heating equipment installation services;;
;market for heat and power co-generation unit, 1MW electrical, components for heat only;heat and power co-generation unit, 1MW electrical, components for heat only;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;71218481ac8315319b5a9ec48af6a5cc;GLO;unit;4220;Construction of utility projects;431;Engines and turbines and parts thereof;MachElecTrans;Metal/electronic equipments and parts
;market for bottom ash, MSWI-WWT, WW from liquid crystal production;bottom ash, MSWI-WWT, WW from liquid crystal production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;a838eff82783bf5e8cf2c90c5190831f;GLO;kilogram;3821;Treatment and disposal of non-hazardous waste;3932;Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…];AgriForeAnim;Agricultural and forestry products
;market for soybean;soybean;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;8811d20c7cbaece9abf30ba053be05b7;RoW;kilogram;111;Growing of cereals (except rice), leguminous crops and oil seeds;1412;Soya beans, other;OreMinFuel;Ores, minerals & fuels
;market for nickel, class 1;nickel, class 1;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;4347b9665d0aea69c7956fa09ac8db07;GLO;kilogram;2420;Manufacture of basic precious and other non-ferrous metals;41422;Unwrought nickel;MetalAlloy;Basic metals & alloys, their semi-finished products
;market for resistor, auxilliaries and energy use;resistor, auxilliaries and energy use;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;36e70f6b29ea4eef07395a67c794e6e2;GLO;kilogram;2610;Manufacture of electronic components and boards;47120;Electrical resistors (except heating resistors);MachElecTrans;Metal/electronic equipments and parts
;market for chloroacetic acid;chloroacetic acid;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c9ac9c259c64ccbb591a55ffc083ac0f;RoW;kilogram;2011;Manufacture of basic chemicals;34120;"Industrial monocarboxylic fatty acids; acid oils from refining";Chemical;Chemical products
;market for natural stone plate, cut;natural stone plate, cut;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;5ff5f74dec6a3b067e27e37becc449c2;GLO;kilogram;2396;Cutting, shaping and finishing of stone;37690;"Other worked monumental or building stone and articles thereof; other artificially coloured granules, chipping[…]";GlasNonMetal;Glass and other non-metallic products
;market for used light commercial vehicle;used light commercial vehicle;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;f81c6899edc38a9138258198afc768b0;GLO;unit;3830;Materials recovery;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
;market for ryegrass-Egyptian&Persian clover-mixture silage;ryegrass-Egyptian&Persian clover-mixture silage;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;3688f1be274328735ea95986e26397c0;GLO;kilogram;161;Support activities for crop production;1919;Forage products, n.e.c.;;
;market for benzaldehyde-2-sulfonic acid;benzaldehyde-2-sulfonic acid;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;45bd3cb10ceb736d2108e63e0e464960;GLO;kilogram;2011;Manufacture of basic chemicals;34170;Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];Chemical;Chemical products
;market for reformate;reformate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;8dedd58e9f3b2406b7356dd61b6389f0;GLO;kilogram;1920;Manufacture of refined petroleum products;3339;Other petroleum oils n.e.c.;OreMinFuel;Ores, minerals & fuels
;market for cocamide diethanolamine;cocamide diethanolamine;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ef57ea33889bf8b7d17b4a1f16464d83;GLO;kilogram;2023;Manufacture of soap and detergents, cleaning and polishing preparations, pe;35310;Organic surface active agents, except soap;Chemical;Chemical products
;market for sodium tetrahydridoborate;sodium tetrahydridoborate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;da1a6c325d3d2ebf5fcfc9737f7f8c7d;GLO;kilogram;2011;Manufacture of basic chemicals;34280;"Hydrogen peroxide; phosphides; carbides; hydrides, nitrides, azides, silicides and borides";Chemical;Chemical products
;market for sodium hydrosulfide;sodium hydrosulfide;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ecb3eb6dd29c385a2b6d77c7b69f0b78;GLO;kilogram;2011;Manufacture of basic chemicals;342;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
;market for furnace, pellet, 15kW;furnace, pellet, 15kW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;af269a0deec50c1b37f01cb51e6972b1;GLO;unit;2815;Manufacture of ovens, furnaces and furnace burners;43420;"Industrial or laboratory furnaces and ovens, except non-electric bakery ovens; other industrial or laboratory […]";MachElecTrans;Metal/electronic equipments and parts
;market for cobalt acetate;cobalt acetate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;37ed4cf62879b492697eb9ed155b4552;GLO;kilogram;729;Mining of other non-ferrous metal ores;41601;Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];MetalAlloy;Basic metals & alloys, their semi-finished products
;market for process-specific burdens, residual material landfill;process-specific burdens, residual material landfill;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;6716af21967082f70459212281beee8f;RoW;kilogram;3822;Treatment and disposal of hazardous waste;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
;market for road wear emissions, lorry;road wear emissions, lorry;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;1179d13a35dffa860657c29ddfe62c8d;GLO;kilogram;3821;Treatment and disposal of non-hazardous waste;53211;Highways (except elevated highways), streets and roads;;
;market for glass from used cathode ray tube;glass from used cathode ray tube;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;71043dd8e15678607451ee802009eed8;GLO;kilogram;3830;Materials recovery;37111;"Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass";GlasNonMetal;Glass and other non-metallic products
;market for phosphorus oxychloride;phosphorus oxychloride;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;981d3e87d35588f06e6bc87d2be8c9fb;RoW;kilogram;2011;Manufacture of basic chemicals;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
;market for wood preservation, spray tunnel/deluging, organic solvent-based, indoor use, occasionally wet;wood preservation, spray tunnel/deluging, organic solvent-based, indoor use, occasionally wet;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;6f4c7853863867f21aaa1572a33af827;GLO;kilogram;1610;Sawmilling and planing of wood;54730;Painting services;;
;market for sodium perborate, tetrahydrate, powder;sodium perborate, tetrahydrate, powder;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;4a22bc93a26f5eef2203d28b17abd501;RoW;kilogram;2023;Manufacture of soap and detergents, cleaning and polishing preparations, pe;353;Soap, cleaning preparations, perfumes and toilet preparations;Chemical;Chemical products
;market for coffee, green bean;coffee, green bean;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;93786c6e6d7d4e5b33c03196db86a2f0;GLO;kilogram;127;Growing of beverage crops;1610;Coffee, green;OreMinFuel;Ores, minerals & fuels
;market for kiwi;kiwi;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;6bca334cb5420a1a5f4bb9728dede03b;GLO;kilogram;125;Growing of other tree and bush fruits and nuts;1352;Kiwi fruit;OreMinFuel;Ores, minerals & fuels
;market for oriented strand board;oriented strand board;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;a0eb06865e4230e9018112f6db1f0140;RoW;cubic meter;1621;Manufacture of veneer sheets and wood-based panels;31432;Oriented strand board (OSB);ProcBio;Wood, straw & cork
;market for dinitrogen tetroxide;dinitrogen tetroxide;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;9082c20b7eeaacb75874d7aa9f274259;GLO;kilogram;2011;Manufacture of basic chemicals;34210;"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";Chemical;Chemical products
;market for sewage sludge, 75% water, WWT, WW from potato starch production;sewage sludge, 75% water, WWT, WW from potato starch production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0f23071ce2360098d9ddbb108b195166;GLO;kilogram;3821;Treatment and disposal of non-hazardous waste;39920;Sewage sludge;AgriForeAnim;Agricultural and forestry products
;market for tin slag;tin slag;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;27e7f85a9b5c792c587a95bcf769a934;GLO;kilogram;3822;Treatment and disposal of hazardous waste;39366;Waste and scrap of tin;AgriForeAnim;Agricultural and forestry products
;market for used train, passenger, regional;used train, passenger, regional;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;1cab6cb99de5d404841b9d887fab1ad8;GLO;unit;3830;Materials recovery;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
;sawdust, wet, measured as dry mass to generic market for residual softwood, wet;residual hardwood, wet;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;de56b05c2e606403a20663acd889f2d6;RoW;cubic meter;1610;Sawmilling and planing of wood;39283;Non-agglomerated wood waste and scrap;AgriForeAnim;Agricultural and forestry products
;market for esterquat;esterquat;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;9aec2940b287dc1ce9b13c3adc4c8b32;RoW;kilogram;2023;Manufacture of soap and detergents, cleaning and polishing preparations, pe;353;Soap, cleaning preparations, perfumes and toilet preparations;Chemical;Chemical products
;cerium oxide to generic market for mischmetal;mischmetal;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;51db34010b2b2f32b0f2a8799b9f1e82;GLO;kilogram;729;Mining of other non-ferrous metal ores;34290;Compounds of rare earth metals, of yttrium or of scandium;Chemical;Chemical products
;market for zinc scrap, post-consumer;zinc scrap, post-consumer;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;359624498cfc9c99f7942faf355ce943;GLO;kilogram;3830;Materials recovery;39365;Waste and scrap of zinc;AgriForeAnim;Agricultural and forestry products
;market for heat and power co-generation unit, 500kW electrical, components for electricity only;heat and power co-generation unit, 500kW electrical, components for electricity only;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;4159a87621c6a640bffa7350d399bee5;GLO;unit;4220;Construction of utility projects;461;Electric motors, generators and transformers, and parts thereof;MachElecTrans;Metal/electronic equipments and parts
;market for cement, CEM V/A;cement, CEM V/A;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;5d92c2bcbbb54a4c8c8842bef93ba361;World;kilogram;2394;Manufacture of cement, lime and plaster;37440;Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;GlasNonMetal;Glass and other non-metallic products
;market for silica sand;silica sand;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;35f4b28d81e76ffc3b979a6bdd80d34c;GLO;kilogram;810;Quarrying of stone, sand and clay;15310;Natural sands;OreMinFuel;Ores, minerals & fuels
;market for ethylene, pipeline system;ethylene, pipeline system;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;6c4fa173f51b224e2487ad86a8ca1364;RoW;kilogram;1920;Manufacture of refined petroleum products;33421;Ethylene, propylene, butylene, butadiene;OreMinFuel;Ores, minerals & fuels
;market for capacitor, electrolyte type, < 2cm height;capacitor, electrolyte type, < 2cm height;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e8f08ec48a26ed189fe166cff13d1c7d;GLO;kilogram;2610;Manufacture of electronic components and boards;47110;Electrical capacitors;MachElecTrans;Metal/electronic equipments and parts
;market for compressed air, 700 kPa gauge;compressed air, 700 kPa gauge;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;bad56a905eb6f8bed4e273051a455157;RoW;cubic meter;2011;Manufacture of basic chemicals;34250;"Salts of oxometallic or peroxometallic acids; colloidal precious metals and compounds thereof; inorganic and o[…]";Chemical;Chemical products
;market for concrete, medium strength;concrete, medium strength;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;41fe72f5bcac61f3b2c25950e3da7e12;RoW;cubic meter;2395;Manufacture of articles of concrete, cement and plaster;37510;Non-refractory mortars and concretes;GlasNonMetal;Glass and other non-metallic products
;market for residues, MSWI-WWT, WW from ceramic production;residues, MSWI-WWT, WW from ceramic production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c9a05ccaffafadfdfdbf7a9559da5146;GLO;kilogram;3821;Treatment and disposal of non-hazardous waste;3932;Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…];AgriForeAnim;Agricultural and forestry products
;market for wood preservation, spray tunnel/deluging, water-based, indoor use, occasionally wet;wood preservation, spray tunnel/deluging, water-based, indoor use, occasionally wet;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;6439c80604c424e46c8b177012dcbe8d;GLO;kilogram;1610;Sawmilling and planing of wood;54730;Painting services;;
;acetonitrile to generic market for solvent for chromatography analysis;solvent for chromatography analysis;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;382fad5690a9a7b54998ea829a0725c3;GLO;kilogram;2022;Manufacture of paints, varnishes and similar coatings, printing ink and mas;341;Basic organic chemicals;Chemical;Chemical products
;market for methyl iodide;methyl iodide;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;27980de7957e679dff114e42e91b340b;GLO;kilogram;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
