;location;database;code;name;reference product;unit;waste_composting_solid;waste_digestion_liquid;waste_digestion_solid;waste_hazardous_liquid;waste_hazardous_solid;waste_incineration_liquid;waste_incineration_solid;waste_landfill_liquid;waste_landfill_solid;waste_non_hazardous_liquid;waste_non_hazardous_solid;waste_open_burning_solid;waste_recycling_solid;waste_total_liquid;waste_total_solid;Antimony (demand);Bauxite (demand);Borates (demand);Cement (demand);Cobalt (demand);Coke (demand);Copper (demand);Electricity (demand);Fluorspar (demand);Gallium (demand);Gold (demand);Graphite (demand);Helium (demand);Indium (demand);Latex (demand);Lithium (demand);Magnesium (demand);Natural gas (demand);Nickel (demand);Palladium (demand);Petroleum (demand);Phosphate rock (demand);Platinum (demand);Rare earth (demand);Rhodium (demand);Sand (demand);Scandium (demand);Silicon (demand);Silver (demand);Strontium (demand);Tantalum (demand);Tungsten (demand);Vegetable oil (demand);Water (demand);Zinc (demand);log parameters;parameters full;source;worksheet name;amount
5c99b492af40d2b835cd87a4d10d12a8;GLO;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2050;5c99b492af40d2b835cd87a4d10d12a8;market for dimethylaminopropylamine;dimethylaminopropylamine;kilogram;-0.00043964767289006966;-2.0706485398504077e-06;3.379422165982187e-06;2.8904958533309923e-08;-0.0027058095887607073;4.6369408628044424e-10;0.00549318485383872;5.152156194339194e-11;0.4055019653222595;0.0;0.0;0.0009208272070498199;0.05943034817864548;0.003917132794905401;1.3446205437026875;9.799766877102147e-08;0.01327711895748481;8.45147428551873e-06;0.010844473794959767;1.472582693177902e-07;1.2509674821815364;0.0036826533993213617;0.0;0.0008349965862820255;5.628904807468438e-10;8.691853290211879e-08;0.0001523450529223267;4.2990920272960843e-07;8.843768914064106e-12;1.3674843716448385e-06;2.583696306009429e-06;7.527386692483787e-06;0.0;0.00015743535241707964;3.7233929203784356e-09;0.048404605511305154;0.0009252210608050636;3.230260477461909e-08;5.800442716142635e-07;2.064005598079595e-14;0.14371790029912218;0.0;0.0001713601507330069;3.9121468825736275e-06;2.523232397049432e-07;1.4523891903175906e-06;0.0;5.818228242320859e-06;0.00022552260394492264;0.0004205227756831318;;;;;
4c9cc4b2bfcfc920d73fd4fd56d23d1c;GLO;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2050;4c9cc4b2bfcfc920d73fd4fd56d23d1c;market for technical wood drying facility;technical wood drying facility;unit;-1.0543779319269162;-0.008066691072247657;0.014391801049480001;7.450672746864023e-05;7.32331408153229;1.1904570522081924e-06;912.3549890835213;1.322729975883215e-07;9523.891100635174;0.0;0.0;4.13160338035147;7068.163683262636;7.316944893424772;64150.88588380834;0.00027438521457929225;2502.1360393593413;0.039986173198338394;306.33845259316905;0.000344185207308685;789.8304865387621;7.342527343299035;0.0;1.1997598473066218;6.606017356580874e-07;2.9599513274686014e-05;1.2466649823365739;0.00012320641093610925;3.569342158962284e-08;0.00505694933974337;0.008544932989542054;0.013407468811758036;0.0;0.017321525330078726;2.370541775143254e-06;385.1870301077546;1.9639878636355619;9.813153231188175e-05;0.0018033926151052647;1.5204070771619652e-10;3929.908486214914;0.0;8.123985578808513;0.01048958966429381;0.00021226078207252185;0.001459220407425997;0.0;0.01946933809039804;3.390432190774284;0.22707285773616592;;;;;
65b8308377533763c53af20ee5837ff4;GLO;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2050;65b8308377533763c53af20ee5837ff4;market for residues, MSWI-WWT, condensate from light oil boiler;residues, MSWI-WWT, condensate from light oil boiler;kilogram;6.931670345865119e-05;5.8266427257438255e-06;-6.354419386429905e-07;-1.3971179153192253e-09;0.00024907934149898505;-2.1517615188306542e-11;-0.00029808162201190743;-2.390845983590801e-12;-2.089066433506683;0.0;0.0;-3.437122459708161e-05;-0.002796344459608474;-0.00030341970930191265;-3.1961961783570594;-2.9541820245792576e-08;-0.005401444985554863;-1.2310490242266496e-06;-0.8021611615630483;-1.4592249580605908e-08;-0.01883342863680109;-0.00016903576147773148;0.0;-2.561916970156409e-05;-2.947381317635135e-11;-2.5825150440466984e-09;-5.3302229910281106e-05;-1.006867982964938e-08;-3.4684253869274914e-12;-3.673762383965361e-07;-9.107960815028031e-07;-1.0474568242877553e-06;0.0;-1.202299423730146e-06;-2.2000444583872608e-10;-0.021402181094647525;-6.71427205297443e-05;-1.1183547789067469e-08;-1.923445330560519e-07;-5.4743954913675434e-14;-0.008347421180538167;0.0;-1.095158788696104e-05;-1.151604504746365e-06;-1.6454989619148683e-08;-1.3549965347356355e-07;0.0;-4.923365648912487e-07;-7.965729547800721e-05;-9.361430497717846e-06;;;;;
20d3342cb434fbdc7be4f54ee6148dc5;GLO;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2050;20d3342cb434fbdc7be4f54ee6148dc5;market for nickel concentrate, 16% Ni;nickel concentrate, 16% Ni;kilogram;-0.0006147956866330496;-3.4949690293006946e-05;1.6264289283116244e-06;1.8270509403562407e-08;-0.007008979620160685;2.579407066878522e-10;-0.00014918183724516973;2.866007674142067e-11;0.4462690468784078;0.0;0.0;0.0002560715307595201;0.03766394135066985;0.008650038052668337;1.4632254368072335;8.056234637667418e-08;0.00706652821261431;5.901538474284986e-06;0.0023282788972226495;1.1722472825091346e-07;0.10906472418677329;0.0009454252237840743;0.0;0.00027895179302165474;5.897537061487076e-11;8.423081509598713e-09;0.00012333402635513867;5.1285545785787e-08;7.17506923293708e-12;7.887368572059045e-07;2.1426855809714634e-06;2.4986329988488915e-06;0.0;6.16317581937733e-06;5.88370934832694e-10;0.08214770601650738;0.0004977773569579376;2.7969260572766485e-08;5.216096540950348e-07;2.4332000928587823e-13;2.9208657529587003;0.0;2.8215476340422422e-05;2.8456642421110327e-06;7.985959894369981e-08;3.259007193624529e-07;0.0;4.801571780735891e-06;0.000997702727022198;4.113189083992292e-05;;;;;
806de3a20a6aad4f41b3df84b530bbb0;GLO;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2050;806de3a20a6aad4f41b3df84b530bbb0;market for nuclear fuel element, for pressure water reactor, UO2 3.9% & MOX;nuclear fuel element, for pressure water reactor, UO2 3.9% & MOX;kilogram;-0.962615681716279;-0.005304516871452541;0.004508467346786842;0.05344842915835661;-2.362364810747328;0.0013800740768190366;0.6347198954621563;0.00015334155457030708;244.15543372202154;0.0;0.0;0.47027703890182104;31.648019157277602;5.0955625538454905;685.4798427647728;2.6817477078153422e-05;10.2133744292485;0.00341771893409114;18.35142076051104;0.0002506927874172556;327.3256842961068;1.2794797498217991;0.0;8.769439236864711;1.5741236990417932e-07;6.972041736043887e-06;0.041175301362839464;3.541220699086392e-05;2.836920515485361e-09;0.001385488720080021;0.0006889944603169963;0.0033879878128166433;0.0;0.008638257886656625;3.718336000112758e-07;127.03934102472945;0.7458568423184457;9.749969931205913e-06;0.00024266572431610856;6.382904205052329e-11;109.52905650604966;0.0;0.11174364382502798;0.0010432367638076822;0.0004995376575211911;0.0001812830733330488;0.0;0.00758852589307513;0.15520672926286377;0.05627580772581643;;;;;
241dbdff1d770af53dc3727e431c7d5e;GLO;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2050;241dbdff1d770af53dc3727e431c7d5e;market for tetrafluoroethylene;tetrafluoroethylene;kilogram;-0.0017197102145718713;-4.8707732421667755e-05;1.465699153295473e-05;1.21462487367957e-07;-0.04376197412091157;1.8586721666122827e-09;0.006385434692726713;2.0651911680119234e-10;1.4782892166704011;0.0;0.0;0.0035051380041028007;0.27803594359848516;0.02880048148887628;5.492568517062768;3.011315399667146e-07;0.05150404771269723;3.7790059012250126e-05;0.043048508258980205;4.881139886928519e-07;0.9061551466055531;0.01709607938166438;0.0;2.0313448655646447;2.3916303627076106e-09;4.1946629342420975e-07;0.00041930884786781363;2.0912472567144358e-06;2.4054704794025832e-11;4.919900158333663e-06;1.0152590649447062e-05;2.8649636899432522e-05;0.0;2.330761033931477e-05;1.7317909267921012e-08;0.15287946442911743;0.0017227715084394406;8.648082120017885e-08;1.55641681686405e-06;1.0392645459213303e-13;0.37708842482542143;0.0;0.000734556948189581;1.1553581971307775e-05;5.250561290533279e-06;6.455668180341816e-06;0.0;2.2233741981691486e-05;0.0006310213844117607;0.0018405984183050585;;;;;
f0b76323d0c53237efbaa8e86d532b56;GLO;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2050;f0b76323d0c53237efbaa8e86d532b56;market for clay brick;clay brick;kilogram;-0.00013955507407659265;-5.849302750679373e-07;3.4088492299269963e-06;1.5165133376154974e-09;-0.0005369587348655642;2.469889498157787e-11;0.0009805209260969115;2.7443214942298556e-12;0.1593595541946373;0.0;0.0;0.00010220098506913854;0.010769376862462713;0.0006290290644608912;0.381332419367528;4.9224557738863015e-08;0.0027652642164402988;1.7372047363609738e-06;0.0009951683113001125;4.4897715316008016e-08;0.05121477591715028;0.00030031145914668843;0.0;3.710644800619461e-05;3.168864345725929e-11;3.845117358525769e-09;7.743506933976703e-05;1.4377377559576441e-08;4.452654357166454e-12;4.224940731298791e-07;1.3267170529501526e-06;1.627344175133787e-06;0.0;2.3444503461383262e-06;3.565345855491341e-10;0.02248591179731039;0.00010217265615077702;1.7226906957008164e-08;3.021836548608856e-07;4.595012140323631e-14;0.025655746923541695;0.0;1.4548426484852244e-05;1.7575563471311178e-06;3.267342796727324e-08;2.1215948214058896e-07;0.0;1.70775165809745e-06;6.973857856540086e-05;4.6271433179222836e-05;;;;;
299866bea48a7c1b38a7a24f23409efc;GLO;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2050;299866bea48a7c1b38a7a24f23409efc;market for naphthalene sulfonic acid;naphthalene sulfonic acid;kilogram;-0.0004115274511649824;-8.449579744873456e-06;4.602093227722735e-06;1.3620030095413777e-08;-0.0014864943600404322;2.1385084765105656e-10;0.005187289983330964;2.3761203819272107e-11;0.3248502924311689;0.0;0.0;0.00046511551875280254;0.04324261117810814;0.00216421447768493;1.0541856829672986;8.695214728170635e-08;0.009735834970184593;7.033233028095932e-06;0.005315091705589389;9.765321695861732e-08;0.17007654394119429;0.002684052396732427;0.0;0.00015823619506357005;2.6778097318324557e-10;6.63921434299817e-08;0.00012839480095934195;3.26068483022549e-07;7.616384586411667e-12;1.5422707670828466e-06;2.1883180619958355e-06;4.5280615031544206e-06;0.0;5.167350566368245e-06;2.8738602823777582e-09;0.04042481365083193;0.0005533264152663928;2.7328610864933272e-08;4.878291266654676e-07;3.1824616457730336e-14;0.04800944783147676;0.0;9.326598894400553e-05;3.150354721686508e-06;8.822677705337618e-07;1.13298764653569e-06;0.0;6.994234427789719e-06;0.00018278263742266656;0.00027784712489792426;;;;;
ce023279e15cce103b65525fa68bc53c;GLO;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2050;ce023279e15cce103b65525fa68bc53c;market for control cabinet, heat and power co-generation unit, 160kW electrical;control cabinet, heat and power co-generation unit, 160kW electrical;unit;-1.3090861317162883;-0.006154812046712151;0.02100621748365164;4.8303134762107684e-05;-12.718049548933863;7.723903536491947e-07;41.642760421187006;8.582114507698797e-08;676.7096197288499;0.0;0.0;11.669775931368807;41.09579740812923;31.742529559256997;1954.8653435481297;8.724537462785616e-05;13.84685850936676;0.009337202830729432;44.86243561636693;0.0008528062958794363;3256.0062221638477;19.299729990571095;0.0;0.5532152997922705;9.973463205656053e-07;1.4808917553267963e-05;0.15034159286437582;7.50244982171844e-05;1.0632493396001592e-08;0.006533086523070329;0.002624393872485403;0.011052562872679372;0.0;0.37906067069499433;9.451471712892343e-07;306.70697371332295;2.1756803634165243;0.002131696217343464;0.0006212521469962387;7.853588816264435e-11;255.2506438511524;0.0;0.2742324978955269;0.003766543313153332;0.00025796703425255116;0.0005203731341072652;0.0;0.031009032829054525;0.32191288659899964;0.37542604975309685;;;;;
6caa34be583700c562617d1cc473c1b5;RoW;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2050;6caa34be583700c562617d1cc473c1b5;market for bottom ash, MSWI-WWT, WW from medium density board production;bottom ash, MSWI-WWT, WW from medium density board production;kilogram;2.1607804524386223e-05;1.1374970767465821e-07;-1.4372286500240455e-07;-1.4433372475243793e-10;1.0000700771705693;-2.4011248035818452e-12;-7.862893020840643e-05;-2.6679162827782247e-13;-0.03043811292036277;0.0;0.0;-6.3778019137465424e-06;-0.00030198156707706526;-9.437906582988972e-05;0.9366712945066197;-1.1709742107883633e-08;-0.0005496739074228526;-3.8010373674141696e-07;-7.918899617198315e-05;-3.949320044278519e-09;-0.004785262866369797;-3.789020312859863e-05;0.0;-7.725934818920384e-06;-3.3060077042812092e-12;-8.060432495863994e-10;-1.829671663652939e-05;-2.8926919065650166e-09;-1.0507014371069959e-12;-9.72783390517191e-08;-3.146203513903129e-07;-3.2261751444706457e-07;0.0;-3.271794574573443e-07;-6.852339626363216e-11;-0.004749804366911322;-1.70600010776759e-05;-3.980049936159046e-09;-6.938789655675386e-08;-1.2286226734122249e-15;-0.0009193142956402592;0.0;-2.043269416338778e-06;-4.145186499442693e-07;-3.793351639092236e-09;-4.209370936981739e-08;0.0;-1.3079746227607526e-07;-1.3103410814665248e-05;-1.646402563384729e-06;;;;;
f3be03db6ad2528cb4cb89ad5f469528;GLO;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2050;f3be03db6ad2528cb4cb89ad5f469528;market for wheat seed, for sowing;wheat seed, for sowing;kilogram;-0.0002978765558335716;-3.049030695858503e-06;7.995989842272344e-07;3.0313066448556084e-09;-0.0010536427918891493;4.778006510904213e-11;0.001441158317830036;5.308895793607262e-12;0.13205903657272652;0.0;0.0;0.0004924109747566317;0.02026706931117862;0.0007880667102155563;0.4138805433992259;3.315867046262361e-08;0.0037531688748596048;3.7690276408489376e-06;0.0017855039407844485;5.8859452451244014e-08;0.17176866371727864;0.0009541770220752924;0.0;0.0001205170352036651;5.905692863077584e-11;1.0089305494166302e-08;5.078743056286836e-05;4.753501206033973e-08;3.805251515440216e-12;9.057379003882623e-07;2.827823481991088e-06;1.3289408006822227e-06;0.0;1.5415196840109202e-05;5.259030856207098e-10;0.03746294683144117;0.0647086544375387;1.1338061086513323e-08;2.2082400867304512e-07;2.4746938620809927e-14;0.01865062542726069;0.0;2.5229635993803105e-05;1.1920288405726311e-06;1.1537298015056705e-07;2.509797278146927e-07;0.0;4.157549956801385e-06;7.210672469606568e-05;8.594712665711677e-05;;;;;
