activity type;reference product;code;name;unit;location;database;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
market activity;calcium nitrate;f166f98f45a335a8d0bab36d40e1b91a;market for calcium nitrate;kilogram;RoW;ecoinvent_3.9.1_consequential;2012;Manufacture of fertilizers and nitrogen compounds;34615;Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilizing substances;Chemical;Chemical products
market activity;straw;3f20ac2c80bbddb06bcacb7c670f21c0;market for straw;kilogram;RoW;ecoinvent_3.9.1_consequential;111;Growing of cereals (except rice), leguminous crops and oil seeds;1913;Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets;;
market activity;wheat grain;629cf2ce111adca38b033cc49a916913;market for wheat grain;kilogram;RoW;ecoinvent_3.9.1_consequential;111;Growing of cereals (except rice), leguminous crops and oil seeds;1112;Wheat, other;OreMinFuel;Ores, minerals & fuels
market activity;pitch despergents, in paper production;32e2b5aee86583dcac32057935169ac3;market for pitch despergents, in paper production;kilogram;RoW;ecoinvent_3.9.1_consequential;2011;Manufacture of basic chemicals;34;Basic chemicals;Chemical;Chemical products
market activity;energy and auxilliary inputs, metal working machine;7d499a6f5fe736e70f45466bd5409b21;market for energy and auxilliary inputs, metal working machine;kilogram;RoW;ecoinvent_3.9.1_consequential;259;"Manufacture of other fabricated metal products; metalworking service activit";4421;"Machine-tools for working metal; machine-tools for working any material by laser or similar process";MachElecTrans;Metal/electronic equipments and parts
market activity;heavy fuel oil;5755a9a28d8db9a929a657a63d46ff75;market for heavy fuel oil;kilogram;RoW;ecoinvent_3.9.1_consequential;1920;Manufacture of refined petroleum products;33370;Fuel oils n.e.c.;OreMinFuel;Ores, minerals & fuels
market activity;potato seed, at farm;dc6cfd54d3f9f3493e56ac111bdf8ca7;market for potato seed, at farm;kilogram;GLO;ecoinvent_3.9.1_consequential;113;Growing of vegetables and melons, roots and tubers;1510;Potatoes;OreMinFuel;Ores, minerals & fuels
market activity;mine infrastructure, steatite;486fd6b2b72924b4b34522a501a289e9;market for mine infrastructure, steatite;unit;GLO;ecoinvent_3.9.1_consequential;4290;Construction of other civil engineering projects;53261;Mining constructions;;
market activity;purse seiner, wood;2584913d31d845453b8fec0225783121;market for purse seiner, wood;kilogram;GLO;ecoinvent_3.9.1_consequential;311;Marine fishing;49315;"Fishing vessels; factory ships and other vessels for processing or preserving fishery products";MachElecTrans;Transport vehicles
market activity;SOx retained, in hard coal flue gas desulfurisation;88d37bf839833e9e3ae96a52e980086f;market for SOx retained, in hard coal flue gas desulfurisation;kilogram;RoW;ecoinvent_3.9.1_consequential;3510;Electric power generation, transmission and distribution;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
market activity;maintenance, tanker for liquid goods other than petroleum and liquefied natural gas;0fa91f1101db426e84d7d457f4cb10f2;market for maintenance, tanker for liquid goods other than petroleum and liquefied natural gas;unit;GLO;ecoinvent_3.9.1_consequential;3315;Repair of transport equipment, except motor vehicles;87149;Maintenance and repair services of other transport equipment;;
market activity;borax, anhydrous, powder;77fb654d7bf175f61876dba5063ca37b;market for borax, anhydrous, powder;kilogram;GLO;ecoinvent_3.9.1_consequential;2011;Manufacture of basic chemicals;34270;"Cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyanates; silicates; borates; perb[…]";Chemical;Chemical products
market activity;residues, MSWI-WWT[R], WW from anaerobic digestion of whey;5bedb23baad1a83d299aa24f4187ae69;market for residues, MSWI-WWT[R], WW from anaerobic digestion of whey;kilogram;GLO;ecoinvent_3.9.1_consequential;3821;Treatment and disposal of non-hazardous waste;3932;Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…];AgriForeAnim;Agricultural and forestry products
market activity;maintenance, bulk carrier, for dry goods;d64973695fda77222b4142558b294aef;market for maintenance, bulk carrier, for dry goods;unit;GLO;ecoinvent_3.9.1_consequential;3315;Repair of transport equipment, except motor vehicles;87149;Maintenance and repair services of other transport equipment;;
market activity;sewage sludge, 70% water, WWT[R], WW from anaerobic digestion of whey;02bc72d678da321dac03a2ad19a8857a;market for sewage sludge, 70% water, WWT[R], WW from anaerobic digestion of whey;kilogram;RoW;ecoinvent_3.9.1_consequential;3821;Treatment and disposal of non-hazardous waste;39920;Sewage sludge;AgriForeAnim;Agricultural and forestry products
market activity;aircraft, dedicated freight, long haul;9ce11144bd85b01e56071e1f0340d687;market for aircraft, dedicated freight, long haul;unit;GLO;ecoinvent_3.9.1_consequential;3030;Manufacture of air and spacecraft and related machinery;49623;Aeroplanes and other powered aircraft of an unladen weight exceeding 2000 kg;MachElecTrans;Transport vehicles
ordinary transforming activity;cottonseed;31aa110587d4360ed30cf8a157cef1a5;cottonseed to generic market for energy feed;kilogram;RoW;ecoinvent_3.9.1_consequential;1080;Manufacture of prepared animal feeds;143;Cottonseed;OreMinFuel;Ores, minerals & fuels
market activity;maintenance, ferry;d043203f0f5596b0e406f10c55859c93;market for maintenance, ferry;unit;GLO;ecoinvent_3.9.1_consequential;3315;Repair of transport equipment, except motor vehicles;87149;Maintenance and repair services of other transport equipment;;
market activity;neutralising agent, sodium hydroxide-equivalent;5fd1f038bc94477d07b837ff11f9172d;market for neutralising agent, sodium hydroxide-equivalent;kilogram;GLO;ecoinvent_3.9.1_consequential;2011;Manufacture of basic chemicals;342;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
market activity;printer, laser, black/white;a1fb55734de1f7a0dde64e0a1b81ddf9;market for printer, laser, black/white;unit;GLO;ecoinvent_3.9.1_consequential;2620;Manufacture of computers and peripheral equipment;45264;Laser printers used with data processing machines;MachElecTrans;Metal/electronic equipments and parts
market activity;waste newspaper;5332bab635c9cb9875902936a2de6f97;market for waste newspaper;kilogram;GLO;ecoinvent_3.9.1_consequential;3821;Treatment and disposal of non-hazardous waste;39240;Waste and scrap of paper or paperboard;AgriForeAnim;Agricultural and forestry products
market activity;maintenance, barge;7969d20cd2767bcd1e4436a1ad582d0e;market for maintenance, barge;unit;GLO;ecoinvent_3.9.1_consequential;3315;Repair of transport equipment, except motor vehicles;87149;Maintenance and repair services of other transport equipment;;
market activity;spent pot liner from Al electrolysis, carbon fraction;f332601a740c498d36f913710c1579f2;market for spent pot liner from Al electrolysis, carbon fraction;kilogram;GLO;ecoinvent_3.9.1_consequential;3822;Treatment and disposal of hazardous waste;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
market activity;funnel glass, for cathode ray tube display;12c795d439cb55515c74bee162a8500c;market for funnel glass, for cathode ray tube display;kilogram;GLO;ecoinvent_3.9.1_consequential;2310;Manufacture of glass and glass products;3719;Other glass articles;GlasNonMetal;Glass and other non-metallic products
market activity;furnace, wood chips, average storage area, 300kW;1b7b8c41564cf80f4d7a278c8af84b6f;market for furnace, wood chips, average storage area, 300kW;unit;GLO;ecoinvent_3.9.1_consequential;2815;Manufacture of ovens, furnaces and furnace burners;43420;"Industrial or laboratory furnaces and ovens, except non-electric bakery ovens; other industrial or laboratory […]";MachElecTrans;Metal/electronic equipments and parts
market activity;fibre cement corrugated slab;d3356321e2b9cf0d6a00ab99fe1dd6fa;market for fibre cement corrugated slab;kilogram;GLO;ecoinvent_3.9.1_consequential;2395;Manufacture of articles of concrete, cement and plaster;37570;Articles of asbestos-cement, cellulose fibre-cement or the like;GlasNonMetal;Glass and other non-metallic products
market activity;soap;3852b1b174a7f50d9ae701878e100c3c;market for soap;kilogram;GLO;ecoinvent_3.9.1_consequential;2023;Manufacture of soap and detergents, cleaning and polishing preparations, pe;35321;"Soap; organic surface-active products and preparations for use as soap; paper, wadding, felt and nonwovens, im[…]";Chemical;Chemical products
market activity;residues, MSWI-WWT, WW from particle board production;7b2f98fc56fb325e46235051ccaf63a7;market for residues, MSWI-WWT, WW from particle board production;kilogram;RoW;ecoinvent_3.9.1_consequential;3821;Treatment and disposal of non-hazardous waste;3932;Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…];AgriForeAnim;Agricultural and forestry products
ordinary transforming activity;electrolyte, nickel-rich;4b66d56f39002df3f324748786e606a7;electrolyte, nickel-rich to generic market for nickel-rich materials;cubic meter;GLO;ecoinvent_3.9.1_consequential;2420;Manufacture of basic precious and other non-ferrous metals;342;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
market activity;NCA hydroxide;cd2a426f570bc052d6cda9f6692b561a;market for NCA hydroxide;kilogram;RoW;ecoinvent_3.9.1_consequential;2011;Manufacture of basic chemicals;34220;"Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth[…]";Chemical;Chemical products
market activity;paper machine;2e870bd2c3bcffacaf6d01029259f5db;market for paper machine;unit;GLO;ecoinvent_3.9.1_consequential;2829;Manufacture of other special-purpose machinery;44913;"Machinery for making pulp of fibrous cellulosic material or for making or finishing paper or paperboard; machi[…]";MachElecTrans;Metal/electronic equipments and parts
market activity;gravel/sand quarry infrastructure;a87cf77b1b7f866a67b8dec4346352be;market for gravel/sand quarry infrastructure;unit;GLO;ecoinvent_3.9.1_consequential;4290;Construction of other civil engineering projects;53269;Other constructions for manufacturing;;
market activity;glass cullet, for Saint-Gobain ISOVER SA;4788979144da3c68edc777f78790ac5c;market for glass cullet, for Saint-Gobain ISOVER SA;kilogram;GLO;ecoinvent_3.9.1_consequential;3811;Collection of non-hazardous waste;37111;"Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass";GlasNonMetal;Glass and other non-metallic products
market activity;foam glass;be20caf1e77504b3f2256e9a495145ef;market for foam glass;kilogram;GLO;ecoinvent_3.9.1_consequential;2399;Manufacture of other non-metallic mineral products n.e.c.;37117;Paving blocks, bricks, tiles and other articles of pressed or moulded glass, of a kind used for building or co[…];GlasNonMetal;Glass and other non-metallic products
market activity;mine infrastructure, treatment of sulfidic tailing, off-site, high gold content;2c6eee0ae14d0a53a918467fe88d4a26;market for mine infrastructure, treatment of sulfidic tailing, off-site, high gold content;unit;GLO;ecoinvent_3.9.1_consequential;4290;Construction of other civil engineering projects;5326;Mines and industrial plants;;
market activity;titania slag, 94% titanium dioxide;d93bab74f5c7645c8609ee0dd8c5f392;market for titania slag, 94% titanium dioxide;kilogram;GLO;ecoinvent_3.9.1_consequential;729;Mining of other non-ferrous metal ores;41601;Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];MetalAlloy;Basic metals & alloys, their semi-finished products
market activity;plastic flake, consumer electronics, for recycling;6c3ac6e3d54cf537ee430b65436d8576;market for plastic flake, consumer electronics, for recycling;kilogram;GLO;ecoinvent_3.9.1_consequential;3830;Materials recovery;39270;Waste, parings and scrap of plastics;AgriForeAnim;Agricultural and forestry products
market activity;hydrochloric acid, without water, in 30% solution state;47c16435820ce2ce5e96bc7d6f72abd3;market for hydrochloric acid, without water, in 30% solution state;kilogram;RoW;ecoinvent_3.9.1_consequential;2011;Manufacture of basic chemicals;34;Basic chemicals;Chemical;Chemical products
market activity;barley grain;0bc5e6db296c6f9605bc5611a5a36e72;market for barley grain;kilogram;GLO;ecoinvent_3.9.1_consequential;111;Growing of cereals (except rice), leguminous crops and oil seeds;1152;Barley, other;OreMinFuel;Ores, minerals & fuels
market activity;molybdenite;88674a7d0d61d3756dec30911463ef9a;market for molybdenite;kilogram;GLO;ecoinvent_3.9.1_consequential;729;Mining of other non-ferrous metal ores;4160;"Other non-ferrous metals and articles thereof (including waste and scrap of some metals); cermets and articles […]";MetalAlloy;Basic metals & alloys, their semi-finished products
market activity;liquid packaging board container;3c9a8162154baa6996f2c01fae7de3d5;market for liquid packaging board container;kilogram;GLO;ecoinvent_3.9.1_consequential;1702;Manufacture of corrugated paper and paperboard and of containers of paper a;32153;Cartons, boxes, cases, record sleeves and other packing containers (except bags) of paper, paperboard, cellulo[…];ProcBio;Pulp & paper
